States,Date,Confirmed Cases,Recovered Cases,Death Cases
Alabama,3/19/2020,78,0,0
Alabama,3/18/2020,46,0,0
Alabama,3/17/2020,39,0,0
Alabama,3/16/2020,29,0,0
Alabama,3/15/2020,12,0,0
Alabama,3/14/2020,6,0,0
Alabama,3/13/2020,5,0,0
Alabama,3/12/2020,0,0,0
Alabama,3/11/2020,0,0,0
Alabama,3/10/2020,0,0,0
Alabama,3/9/2020,0,0,0
Alabama,3/8/2020,0,0,0
Alabama,3/7/2020,0,0,0
Alabama,3/6/2020,0,0,0
Alabama,3/5/2020,0,0,0
Alabama,3/4/2020,0,0,0
Alabama,3/3/2020,0,0,0
Alabama,3/2/2020,0,0,0
Alabama,3/1/2020,0,0,0
Alabama,2/29/2020,0,0,0
Alabama,2/28/2020,0,0,0
Alabama,2/27/2020,0,0,0
Alabama,2/26/2020,0,0,0
Alabama,2/25/2020,0,0,0
Alabama,2/24/2020,0,0,0
Alabama,2/23/2020,0,0,0
Alabama,2/22/2020,0,0,0
Alabama,2/21/2020,0,0,0
Alabama,2/20/2020,0,0,0
Alabama,2/19/2020,0,0,0
Alabama,2/18/2020,0,0,0
Alabama,2/17/2020,0,0,0
Alabama,2/16/2020,0,0,0
Alabama,2/15/2020,0,0,0
Alabama,2/14/2020,0,0,0
Alabama,2/13/2020,0,0,0
Alabama,2/12/2020,0,0,0
Alabama,2/11/2020,0,0,0
Alabama,2/10/2020,0,0,0
Alabama,2/9/2020,0,0,0
Alabama,2/8/2020,0,0,0
Alabama,2/7/2020,0,0,0
Alabama,2/6/2020,0,0,0
Alabama,2/5/2020,0,0,0
Alabama,2/4/2020,0,0,0
Alabama,2/3/2020,0,0,0
Alabama,2/2/2020,0,0,0
Alabama,2/1/2020,0,0,0
Alabama,1/31/2020,0,0,0
Alabama,1/30/2020,0,0,0
Alabama,1/29/2020,0,0,0
Alabama,1/28/2020,0,0,0
Alabama,1/27/2020,0,0,0
Alabama,1/26/2020,0,0,0
Alabama,1/25/2020,0,0,0
Alabama,1/24/2020,0,0,0
Alabama,1/23/2020,0,0,0
Alabama,1/22/2020,0,0,0
Alaska,3/19/2020,9,0,0
Alaska,3/18/2020,6,0,0
Alaska,3/17/2020,3,0,0
Alaska,3/16/2020,1,0,0
Alaska,3/15/2020,1,0,0
Alaska,3/14/2020,1,0,0
Alaska,3/13/2020,1,0,0
Alaska,3/12/2020,0,0,0
Alaska,3/11/2020,0,0,0
Alaska,3/10/2020,0,0,0
Alaska,3/9/2020,0,0,0
Alaska,3/8/2020,0,0,0
Alaska,3/7/2020,0,0,0
Alaska,3/6/2020,0,0,0
Alaska,3/5/2020,0,0,0
Alaska,3/4/2020,0,0,0
Alaska,3/3/2020,0,0,0
Alaska,3/2/2020,0,0,0
Alaska,3/1/2020,0,0,0
Alaska,2/29/2020,0,0,0
Alaska,2/28/2020,0,0,0
Alaska,2/27/2020,0,0,0
Alaska,2/26/2020,0,0,0
Alaska,2/25/2020,0,0,0
Alaska,2/24/2020,0,0,0
Alaska,2/23/2020,0,0,0
Alaska,2/22/2020,0,0,0
Alaska,2/21/2020,0,0,0
Alaska,2/20/2020,0,0,0
Alaska,2/19/2020,0,0,0
Alaska,2/18/2020,0,0,0
Alaska,2/17/2020,0,0,0
Alaska,2/16/2020,0,0,0
Alaska,2/15/2020,0,0,0
Alaska,2/14/2020,0,0,0
Alaska,2/13/2020,0,0,0
Alaska,2/12/2020,0,0,0
Alaska,2/11/2020,0,0,0
Alaska,2/10/2020,0,0,0
Alaska,2/9/2020,0,0,0
Alaska,2/8/2020,0,0,0
Alaska,2/7/2020,0,0,0
Alaska,2/6/2020,0,0,0
Alaska,2/5/2020,0,0,0
Alaska,2/4/2020,0,0,0
Alaska,2/3/2020,0,0,0
Alaska,2/2/2020,0,0,0
Alaska,2/1/2020,0,0,0
Alaska,1/31/2020,0,0,0
Alaska,1/30/2020,0,0,0
Alaska,1/29/2020,0,0,0
Alaska,1/28/2020,0,0,0
Alaska,1/27/2020,0,0,0
Alaska,1/26/2020,0,0,0
Alaska,1/25/2020,0,0,0
Alaska,1/24/2020,0,0,0
Alaska,1/23/2020,0,0,0
Alaska,1/22/2020,0,0,0
Arizona,3/19/2020,45,0,0
Arizona,3/19/2020,0,0,0
Arizona,3/19/2020,0,0,0
Arizona,3/19/2020,0,0,0
Arizona,3/18/2020,27,0,0
Arizona,3/18/2020,0,0,0
Arizona,3/18/2020,0,0,0
Arizona,3/18/2020,0,0,0
Arizona,3/17/2020,20,1,0
Arizona,3/17/2020,0,0,0
Arizona,3/17/2020,0,0,0
Arizona,3/17/2020,0,0,0
Arizona,3/16/2020,18,1,0
Arizona,3/16/2020,0,0,0
Arizona,3/16/2020,0,0,0
Arizona,3/16/2020,0,0,0
Arizona,3/15/2020,13,1,0
Arizona,3/15/2020,0,0,0
Arizona,3/15/2020,0,0,0
Arizona,3/15/2020,0,0,0
Arizona,3/14/2020,12,1,0
Arizona,3/14/2020,0,0,0
Arizona,3/14/2020,0,0,0
Arizona,3/14/2020,0,0,0
Arizona,3/13/2020,9,1,0
Arizona,3/13/2020,0,0,0
Arizona,3/13/2020,0,0,0
Arizona,3/13/2020,0,0,0
Arizona,3/12/2020,9,1,0
Arizona,3/12/2020,0,0,0
Arizona,3/12/2020,0,0,0
Arizona,3/12/2020,0,0,0
Arizona,3/11/2020,9,1,0
Arizona,3/11/2020,0,0,0
Arizona,3/11/2020,0,0,0
Arizona,3/11/2020,0,0,0
Arizona,3/10/2020,6,1,0
Arizona,3/10/2020,0,0,0
Arizona,3/10/2020,0,0,0
Arizona,3/10/2020,0,0,0
Arizona,3/9/2020,0,0,0
Arizona,3/9/2020,2,1,0
Arizona,3/9/2020,0,0,0
Arizona,3/9/2020,2,0,0
Arizona,3/8/2020,0,0,0
Arizona,3/8/2020,2,1,0
Arizona,3/8/2020,0,0,0
Arizona,3/8/2020,2,0,0
Arizona,3/7/2020,0,0,0
Arizona,3/7/2020,2,1,0
Arizona,3/7/2020,0,0,0
Arizona,3/7/2020,2,0,0
Arizona,3/6/2020,0,0,0
Arizona,3/6/2020,2,1,0
Arizona,3/6/2020,0,0,0
Arizona,3/6/2020,0,0,0
Arizona,3/5/2020,0,0,0
Arizona,3/5/2020,1,1,0
Arizona,3/5/2020,0,0,0
Arizona,3/5/2020,0,0,0
Arizona,3/4/2020,0,0,0
Arizona,3/4/2020,1,1,0
Arizona,3/4/2020,0,0,0
Arizona,3/4/2020,0,0,0
Arizona,3/3/2020,0,0,0
Arizona,3/3/2020,1,1,0
Arizona,3/3/2020,0,0,0
Arizona,3/3/2020,0,0,0
Arizona,3/2/2020,0,0,0
Arizona,3/2/2020,1,1,0
Arizona,3/2/2020,0,0,0
Arizona,3/2/2020,0,0,0
Arizona,3/1/2020,0,0,0
Arizona,3/1/2020,1,1,0
Arizona,3/1/2020,0,0,0
Arizona,3/1/2020,0,0,0
Arizona,2/29/2020,0,0,0
Arizona,2/29/2020,1,1,0
Arizona,2/29/2020,0,0,0
Arizona,2/29/2020,0,0,0
Arizona,2/28/2020,0,0,0
Arizona,2/28/2020,1,1,0
Arizona,2/28/2020,0,0,0
Arizona,2/28/2020,0,0,0
Arizona,2/27/2020,0,0,0
Arizona,2/27/2020,1,1,0
Arizona,2/27/2020,0,0,0
Arizona,2/27/2020,0,0,0
Arizona,2/26/2020,0,0,0
Arizona,2/26/2020,1,1,0
Arizona,2/26/2020,0,0,0
Arizona,2/26/2020,0,0,0
Arizona,2/25/2020,0,0,0
Arizona,2/25/2020,1,1,0
Arizona,2/25/2020,0,0,0
Arizona,2/25/2020,0,0,0
Arizona,2/24/2020,0,0,0
Arizona,2/24/2020,1,0,0
Arizona,2/24/2020,0,0,0
Arizona,2/24/2020,0,0,0
Arizona,2/23/2020,0,0,0
Arizona,2/23/2020,1,0,0
Arizona,2/23/2020,0,0,0
Arizona,2/23/2020,0,0,0
Arizona,2/22/2020,0,0,0
Arizona,2/22/2020,1,0,0
Arizona,2/22/2020,0,0,0
Arizona,2/22/2020,0,0,0
Arizona,2/21/2020,0,0,0
Arizona,2/21/2020,1,0,0
Arizona,2/21/2020,0,0,0
Arizona,2/21/2020,0,0,0
Arizona,2/20/2020,0,0,0
Arizona,2/20/2020,1,0,0
Arizona,2/20/2020,0,0,0
Arizona,2/20/2020,0,0,0
Arizona,2/19/2020,0,0,0
Arizona,2/19/2020,1,0,0
Arizona,2/19/2020,0,0,0
Arizona,2/19/2020,0,0,0
Arizona,2/18/2020,0,0,0
Arizona,2/18/2020,1,0,0
Arizona,2/18/2020,0,0,0
Arizona,2/18/2020,0,0,0
Arizona,2/17/2020,0,0,0
Arizona,2/17/2020,1,0,0
Arizona,2/17/2020,0,0,0
Arizona,2/17/2020,0,0,0
Arizona,2/16/2020,0,0,0
Arizona,2/16/2020,1,0,0
Arizona,2/16/2020,0,0,0
Arizona,2/16/2020,0,0,0
Arizona,2/15/2020,0,0,0
Arizona,2/15/2020,1,0,0
Arizona,2/15/2020,0,0,0
Arizona,2/15/2020,0,0,0
Arizona,2/14/2020,0,0,0
Arizona,2/14/2020,1,0,0
Arizona,2/14/2020,0,0,0
Arizona,2/14/2020,0,0,0
Arizona,2/13/2020,0,0,0
Arizona,2/13/2020,1,0,0
Arizona,2/13/2020,0,0,0
Arizona,2/13/2020,0,0,0
Arizona,2/12/2020,0,0,0
Arizona,2/12/2020,1,0,0
Arizona,2/12/2020,0,0,0
Arizona,2/12/2020,0,0,0
Arizona,2/11/2020,0,0,0
Arizona,2/11/2020,1,0,0
Arizona,2/11/2020,0,0,0
Arizona,2/11/2020,0,0,0
Arizona,2/10/2020,0,0,0
Arizona,2/10/2020,1,0,0
Arizona,2/10/2020,0,0,0
Arizona,2/10/2020,0,0,0
Arizona,2/9/2020,0,0,0
Arizona,2/9/2020,1,0,0
Arizona,2/9/2020,0,0,0
Arizona,2/9/2020,0,0,0
Arizona,2/8/2020,0,0,0
Arizona,2/8/2020,1,0,0
Arizona,2/8/2020,0,0,0
Arizona,2/8/2020,0,0,0
Arizona,2/7/2020,0,0,0
Arizona,2/7/2020,1,0,0
Arizona,2/7/2020,0,0,0
Arizona,2/7/2020,0,0,0
Arizona,2/6/2020,0,0,0
Arizona,2/6/2020,1,0,0
Arizona,2/6/2020,0,0,0
Arizona,2/6/2020,0,0,0
Arizona,2/5/2020,0,0,0
Arizona,2/5/2020,1,0,0
Arizona,2/5/2020,0,0,0
Arizona,2/5/2020,0,0,0
Arizona,2/4/2020,0,0,0
Arizona,2/4/2020,1,0,0
Arizona,2/4/2020,0,0,0
Arizona,2/4/2020,0,0,0
Arizona,2/3/2020,0,0,0
Arizona,2/3/2020,1,0,0
Arizona,2/3/2020,0,0,0
Arizona,2/3/2020,0,0,0
Arizona,2/2/2020,0,0,0
Arizona,2/2/2020,1,0,0
Arizona,2/2/2020,0,0,0
Arizona,2/2/2020,0,0,0
Arizona,2/1/2020,0,0,0
Arizona,2/1/2020,1,0,0
Arizona,2/1/2020,0,0,0
Arizona,2/1/2020,0,0,0
Arizona,1/31/2020,0,0,0
Arizona,1/31/2020,1,0,0
Arizona,1/31/2020,0,0,0
Arizona,1/31/2020,0,0,0
Arizona,1/30/2020,0,0,0
Arizona,1/30/2020,1,0,0
Arizona,1/30/2020,0,0,0
Arizona,1/30/2020,0,0,0
Arizona,1/29/2020,0,0,0
Arizona,1/29/2020,1,0,0
Arizona,1/29/2020,0,0,0
Arizona,1/29/2020,0,0,0
Arizona,1/28/2020,0,0,0
Arizona,1/28/2020,1,0,0
Arizona,1/28/2020,0,0,0
Arizona,1/28/2020,0,0,0
Arizona,1/27/2020,0,0,0
Arizona,1/27/2020,1,0,0
Arizona,1/27/2020,0,0,0
Arizona,1/27/2020,0,0,0
Arizona,1/26/2020,0,0,0
Arizona,1/26/2020,1,0,0
Arizona,1/26/2020,0,0,0
Arizona,1/26/2020,0,0,0
Arizona,1/25/2020,0,0,0
Arizona,1/25/2020,0,0,0
Arizona,1/25/2020,0,0,0
Arizona,1/25/2020,0,0,0
Arizona,1/24/2020,0,0,0
Arizona,1/24/2020,0,0,0
Arizona,1/24/2020,0,0,0
Arizona,1/24/2020,0,0,0
Arizona,1/23/2020,0,0,0
Arizona,1/23/2020,0,0,0
Arizona,1/23/2020,0,0,0
Arizona,1/23/2020,0,0,0
Arizona,1/22/2020,0,0,0
Arizona,1/22/2020,0,0,0
Arizona,1/22/2020,0,0,0
Arizona,1/22/2020,0,0,0
Arkansas,3/19/2020,62,0,0
Arkansas,3/18/2020,33,0,0
Arkansas,3/17/2020,22,0,0
Arkansas,3/16/2020,22,0,0
Arkansas,3/15/2020,16,0,0
Arkansas,3/14/2020,12,0,0
Arkansas,3/13/2020,6,0,0
Arkansas,3/12/2020,6,0,0
Arkansas,3/11/2020,1,0,0
Arkansas,3/10/2020,0,0,0
Arkansas,3/9/2020,0,0,0
Arkansas,3/8/2020,0,0,0
Arkansas,3/7/2020,0,0,0
Arkansas,3/6/2020,0,0,0
Arkansas,3/5/2020,0,0,0
Arkansas,3/4/2020,0,0,0
Arkansas,3/3/2020,0,0,0
Arkansas,3/2/2020,0,0,0
Arkansas,3/1/2020,0,0,0
Arkansas,2/29/2020,0,0,0
Arkansas,2/28/2020,0,0,0
Arkansas,2/27/2020,0,0,0
Arkansas,2/26/2020,0,0,0
Arkansas,2/25/2020,0,0,0
Arkansas,2/24/2020,0,0,0
Arkansas,2/23/2020,0,0,0
Arkansas,2/22/2020,0,0,0
Arkansas,2/21/2020,0,0,0
Arkansas,2/20/2020,0,0,0
Arkansas,2/19/2020,0,0,0
Arkansas,2/18/2020,0,0,0
Arkansas,2/17/2020,0,0,0
Arkansas,2/16/2020,0,0,0
Arkansas,2/15/2020,0,0,0
Arkansas,2/14/2020,0,0,0
Arkansas,2/13/2020,0,0,0
Arkansas,2/12/2020,0,0,0
Arkansas,2/11/2020,0,0,0
Arkansas,2/10/2020,0,0,0
Arkansas,2/9/2020,0,0,0
Arkansas,2/8/2020,0,0,0
Arkansas,2/7/2020,0,0,0
Arkansas,2/6/2020,0,0,0
Arkansas,2/5/2020,0,0,0
Arkansas,2/4/2020,0,0,0
Arkansas,2/3/2020,0,0,0
Arkansas,2/2/2020,0,0,0
